Date,NSEI NIFTY 50 Index (India),BSE SENSEX Index (India),NSEBANK BankNifty (India),HSI Hang Seng (Hong Kong),TWII TSEC weighted Index (Taiwan),AXJO AS51 Index (Australia),SET.BK Index (Thailand),JKSE IDX Composite (Indonesia),000001.SS Shanghai Composite Index (China),000300.SS CSI 300 Index (China),N225 Nikkei 225 Index (Japan),TPX TOPIX Index (Japan),STI Straits Times Index (STI) (Singapore),IXIC CCMP Index_NASDAQ COMPOSITE INDEX (USA),NYA Index_NYSE COMPOSITE INDEX (USA),GSPC S&P 500 Index (USA),GSPTSE SPTSX Index (Canada),MXX MEXBOL Index (Mexico),MERV MERVAL Index (Argentina),BVSP IBOV Index (Brazil),IPSA Index_Chile stock market select index (Chile),GDAXI DAX index_Complete (Germany),FCHI CAC40 Index (France),IBEX35 Index (Spain),SSMI SwisMarketIndexSMI Index (Switzerland),AEX Index (Netherlands),BFX BEL20 Index (Belgium),ATX Index (Austria),PX Prague Stock Exchange Index (Czech Republic),BUX Index Budapest Stock Exch Index (Hungary),TA-25 Index (Israel),KOSPI Index (South Korea),BIST 100 Index (Turkey),ISEQ Index (Ireland)
2007-09-17,4494.65,15504.43,6897.1,24599.34,8899.91,6271.4,802.65,2223.22,5421.39,,,8.47,3476.31,2581.66,9607.75,1476.65,13809.9,29794.49,2031.3,54341.0,,7479.85,5439.37,13696.9,8685.8,522.99,4209.45,4400.55,,26745.98,1058.48,1871.68,50536.5,7504.7
2007-09-18,4546.2,15669.12,7059.65,24576.85,,6192.5,802.54,2239.86,5425.21,,15801.8,8.8,3477.75,2651.66,9909.03,1519.78,14005.4,30603.42,2090.3,56666.0,,7575.21,5549.35,14042.0,8775.9,531.0,4278.93,4457.05,,26836.97,1068.57,1838.61,50500.9,7611.68
2007-09-19,4732.35,16322.75,7401.85,25554.64,8926.38,6356.1,811.79,2313.34,5395.27,,16381.54,8.82,3594.36,2666.48,9970.9,1529.03,13939.8,30512.64,2116.5,57264.0,,7750.84,5730.82,14494.8,9006.8,543.54,4384.7,4622.0,,27382.17,1093.06,1902.65,53884.1,7965.53
2007-09-20,4747.55,16347.95,7390.15,25701.13,8983.03,6393.7,815.43,2304.63,5470.06,,16413.79,8.72,3552.46,2654.29,9936.47,1518.75,13838.4,30485.75,2100.5,56906.0,3214.67,7735.09,5688.76,14427.1,8896.7,542.45,4354.65,4592.54,,27306.61,1089.8,1908.97,53543.1,7794.7
2007-09-21,4837.55,16564.23,7464.5,25843.78,9105.28,6357.9,831.51,2335.49,5454.67,,16312.61,8.85,3542.22,2671.22,9981.83,1525.75,13940.1,30583.07,2121.7,57799.0,3220.31,7794.43,5700.65,14450.6,8897.3,544.65,4357.19,4582.45,,27396.29,1089.8,1919.26,53882.1,7869.35
2007-09-24,4932.2,16845.83,7650.9,26551.94,,6451.5,836.51,2353.63,5485.01,,,8.93,3639.02,2667.95,9946.42,1517.73,13958.3,30543.45,2145.2,58719.0,3191.22,7787.92,5692.49,14494.7,8906.1,541.63,4309.94,4595.59,,27393.2,1120.47,,53580.7,7785.31
2007-09-25,4938.85,16899.54,7629.15,26430.29,,6483.0,835.18,2330.36,5425.88,,16401.73,8.91,3624.82,2683.45,9933.82,1517.21,13997.6,30294.77,2145.8,58858.0,3174.67,7769.44,5641.59,14311.9,8829.2,534.99,4241.74,4537.05,,27733.29,1130.42,,52893.2,7608.54
2007-09-26,4940.5,16921.39,7755.9,,9257.47,6481.4,844.4,2361.01,5338.52,,16435.74,9.01,3650.09,2699.03,9980.12,1525.42,14035.0,30303.18,2177.2,59715.0,3190.73,7804.15,5690.77,14513.7,8859.7,539.37,4286.92,4532.23,,27848.19,1130.42,,54245.8,7615.83
2007-09-27,5000.55,17150.56,7833.65,27065.15,9413.65,6538.1,843.05,2378.83,5409.4,,16832.22,9.22,3714.77,2709.59,10056.95,1531.38,14129.7,30528.0,2192.5,61052.0,3230.33,7853.79,5733.37,14581.6,8886.0,542.24,4326.36,4545.89,,28218.85,1130.42,1945.28,54390.2,7792.98
2007-09-28,5021.35,17291.1,8042.2,27142.47,9411.95,6567.8,845.5,2359.21,5552.3,,16785.69,8.94,3706.23,2701.5,10039.28,1526.75,14098.9,30296.19,2188.0,60465.0,3249.0,7861.51,5715.69,14576.5,8933.5,540.98,4325.29,4527.3,,28413.12,1130.42,1946.48,54044.2,7883.67
